record_id,year,reference_label,description,description_focus,description_source,description_char_count,fulltext_cached_path,fulltext_status,manual_fulltext_review_needed,review_type,icd11_pain_category,objective_category,bps_function,provisional_typology
WOS:001116314900001,2023,Jurak (2023),This network meta-analysis was focused on effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back.,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back...,title_fallback,156,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10707228.txt,pmc_fulltext_cached,yes,network meta-analysis,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_35645164,2023,Cormack (2023),This narrative review was focused on the biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization,title_fallback,139,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_36527589,2023,Overstreet (2023),This narrative review was focused on the Experience of BIPOC Living with Chronic Pain in the USA: Biopsychosocial Factors that Underlie Racial.,The Experience of BIPOC Living with Chronic Pain in the USA: Biopsychosocial Factors that Underlie Racial...,title_fallback,143,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10683048.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,epidemiological,explanatory framework,potential integrative signal
pubmed_36675454,2023,Włodarczyk (2023),This narrative review was focused on management of Pelvic Pain in Patients with Crohn's Disease-Current Overview.,Management of Pelvic Pain in Patients with Crohn's Disease-Current Overview,title_fallback,113,,,no,narrative or expert review,chronic secondary visceral pain,clinical,background framing,rhetorical label signal
pubmed_36706441,2023,Gerhart (2023),This narrative review was focused on top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain.,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain,title_fallback,142,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10398738.txt,pmc_fulltext_low_content_manual_check,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,explanatory framework,pseudo-bps or partial signal
pubmed_36791365,2023,Frazier (2023),This narrative review was focused on diagnosis and Management of Cyclic Vomiting Syndrome: A Critical Review.,Diagnosis and Management of Cyclic Vomiting Syndrome: A Critical Review,title_fallback,109,,,no,narrative or expert review,chronic secondary headache or orofacial pain,clinical,intervention rationale,multifactorial signal
pubmed_37575343,2023,Carey (2023),This systematic review was focused on evaluation and Medical Management of Chronic Pelvic Pain.,Evaluation and Medical Management of Chronic Pelvic Pain,title_fallback,95,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10415055.txt,pmc_fulltext_low_content_manual_check,yes,systematic review,chronic secondary visceral pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_38132273,2023,Rahman (2023),This narrative review was focused on clinical Diagnosis and Treatment of Chronic Pain.,Clinical Diagnosis and Treatment of Chronic Pain,title_fallback,86,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10743062.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,organizing principle,pseudo-bps or partial signal
pubmed_38137395,2023,Ruimonte-Crespo (2023),This narrative review was focused on aerobic Exercise and Neuropathic Pain: Insights from Animal Models and Implications for Human Therapy.,Aerobic Exercise and Neuropathic Pain: Insights from Animal Models and Implications for Human Therapy,title_fallback,139,,,no,narrative or expert review,chronic neuropathic pain,clinical,rhetorical label,rhetorical label signal
pubmed_38063895,2024,Shil (2024),This narrative review was focused on a clinical approach to the investigation and management of long COVID associated neuropathic pain.,A clinical approach to the investigation and management of long COVID associated neuropathic pain,title_fallback,135,,,no,narrative or expert review,chronic neuropathic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_38470686,2024,Warzocha (2024),This systematic review was focused on etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria.,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria...,title_fallback,153,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10931313.txt,pmc_fulltext_cached,yes,systematic review,chronic secondary headache or orofacial pain,epidemiological,rhetorical label,rhetorical label signal
pubmed_38754116,2024,Polonowita (2024),This narrative review was focused on construction of the chronic temporomandibular disorder patients: the association between neural and psychological.,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological...,title_fallback,151,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,potential integrative signal
pubmed_39137213,2024,Lawan (2024),This meta-analysis was focused on is educational attainment associated with the onset and outcomes of low back pain?.,Is educational attainment associated with the onset and outcomes of low back pain?,title_fallback,117,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.txt,pmc_fulltext_cached,yes,meta-analysis,chronic secondary musculoskeletal pain,methodological,unclear,pseudo-bps or partial signal
pubmed_39468650,2024,Couëpel (2024),This scoping review was focused on what are the functional and clinical characteristics shared by fibromyalgia and low back pain?.,What are the functional and clinical characteristics shared by fibromyalgia and low back pain?,title_fallback,130,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.txt,pmc_fulltext_cached,yes,scoping or mapping review,chronic primary pain,clinical,organizing principle,potential integrative signal
pubmed_39629040,2024,Dehghan (2024),This narrative review was focused on deciphering pain: molecular mechanisms and neurochemical pathways-challenges and future opportunities.,Deciphering pain: molecular mechanisms and neurochemical pathways-challenges and future opportunities,title_fallback,139,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11613041.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_39768944,2024,Alonso-Sal (2024),This systematic review was focused on effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain.,Effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain,title_fallback,120,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11678838.txt,pmc_fulltext_cached,yes,systematic review,chronic secondary musculoskeletal pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_40101218,2025,Rometsch (2025),This systematic review was focused on chronic pain in European adult populations: a systematic review of prevalence and associated clinical features.,Chronic pain in European adult populations: a systematic review of prevalence and associated clinical features,title_fallback,149,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11921450.txt,pmc_fulltext_cached,yes,systematic review,mixed or unspecified chronic pain,epidemiological,background framing,rhetorical label signal
pubmed_40170347,2025,Souza (2025),This scoping review was focused on conversational Agents to Support Pain Management.,Conversational Agents to Support Pain Management,title_fallback,84,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.txt,pmc_fulltext_cached,yes,scoping or mapping review,mixed or unspecified chronic pain,clinical,background framing,rhetorical label signal
pubmed_40418249,2025,Kubala (2025),This systematic review was focused on biopsychosocial and physical factors associated with firefighter musculoskeletal disorders.,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders,title_fallback,129,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12202764.txt,pmc_fulltext_cached,yes,systematic review,chronic secondary musculoskeletal pain,epidemiological,organizing principle,pseudo-bps or partial signal
pubmed_40624502,2025,Potthoff (2025),This systematic review was focused on social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative.,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative...,title_fallback,153,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12235893.txt,pmc_fulltext_cached,yes,systematic review,mixed or unspecified chronic pain,conceptual,explanatory framework,potential integrative signal
pubmed_40675665,2025,Mueller (2025),This systematic review was focused on advances in Our Understanding and Treatment of Nociplastic Pain.,Advances in Our Understanding and Treatment of Nociplastic Pain,title_fallback,102,,,no,systematic review,chronic primary pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_41105043,2025,Strien (2025),This narrative review was focused on pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances,title_fallback,114,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.txt,pmc_fulltext_cached,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_41268985,2025,Kohlert (2025),This scoping review was focused on existential therapy for treating chronic pain.,Existential therapy for treating chronic pain,title_fallback,81,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12637014.txt,pmc_fulltext_cached,yes,scoping or mapping review,mixed or unspecified chronic pain,clinical,intervention rationale,pseudo-bps or partial signal
pubmed_41271285,2026,Boon (2026),This narrative review was focused on dual Experience and Management of Pain in Older Adults and Their Caregivers.,Dual Experience and Management of Pain in Older Adults and Their Caregivers,title_fallback,113,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,explanatory framework,pseudo-bps or partial signal
